asia-east1-a 	Changhua County,Taiwan,APAC
asia-east1-b 	Changhua County,Taiwan,APAC
asia-east1-c 	Changhua County,Taiwan,APAC
asia-east2-a 	Hong Kong,APAC
asia-east2-b 	Hong Kong,APAC
asia-east2-c 	Hong Kong,APAC
asia-northeast1-a 	Tokyo,Japan,APAC
asia-northeast1-b 	Tokyo,Japan,APAC
asia-northeast1-c 	Tokyo,Japan,APAC
asia-northeast2-a 	Osaka,Japan,APAC
asia-northeast2-b 	Osaka,Japan,APAC
asia-northeast2-c 	Osaka,Japan,APAC
asia-northeast3-a 	Seoul,South Korea,APAC
asia-northeast3-b 	Seoul,South Korea,APAC
asia-northeast3-c 	Seoul,South Korea,APAC
asia-south1-a 	Mumbai,India,APAC
asia-south1-b 	Mumbai,India,APAC
asia-south1-c 	Mumbai,India,APAC
asia-south2-a 	Delhi,India,APAC
asia-south2-b 	Delhi,India,APAC
asia-south2-c 	Delhi,India,APAC
asia-southeast1-a 	Jurong West,Singapore,APAC
asia-southeast1-b 	Jurong West,Singapore,APAC
asia-southeast1-c 	Jurong West,Singapore,APAC
asia-southeast2-a 	Jakarta,Indonesia,APAC
asia-southeast2-b 	Jakarta,Indonesia,APAC
asia-southeast2-c 	Jakarta,Indonesia,APAC
australia-southeast1-a 	Sydney,Australia,APAC
australia-southeast1-b 	Sydney,Australia,APAC
australia-southeast1-c 	Sydney,Australia,APAC
australia-southeast2-a 	Melbourne,Australia,APAC
australia-southeast2-b 	Melbourne,Australia,APAC
australia-southeast2-c 	Melbourne,Australia,APAC
europe-central2-a 	Warsaw,Poland,Europe
europe-central2-b 	Warsaw,Poland,Europe
europe-central2-c 	Warsaw,Poland,Europe
europe-north1-a 	Hamina,Finland,Europe
europe-north1-b 	Hamina,Finland,Europe
europe-north1-c 	Hamina,Finland,Europe
europe-southwest1-a 	Madrid,Spain,Europe
europe-southwest1-b 	Madrid,Spain,Europe
europe-southwest1-c 	Madrid,Spain,Europe
europe-west1-b 	St. Ghislain,Belgium,Europe
europe-west1-c 	St. Ghislain,Belgium,Europe
europe-west1-d 	St. Ghislain,Belgium,Europe
europe-west10-a    Berlin,Germany,Europe
europe-west10-b    Berlin,Germany,Europe
europe-west10-c    Berlin,Germany,Europe
europe-west12-a    Turin,Italy,Europe
europe-west12-b    Turin,Italy,Europe
europe-west12-c    Turin,Italy,Europe
europe-west2-a 	London,England,Europe
europe-west2-b 	London,England,Europe
europe-west2-c 	London,England,Europe
europe-west3-a 	Frankfurt,Germany,Europe
europe-west3-b 	Frankfurt,Germany,Europe
europe-west3-c 	Frankfurt,Germany,Europe
europe-west4-a 	Eemshaven,Netherlands,Europe
europe-west4-b 	Eemshaven,Netherlands,Europe
europe-west4-c 	Eemshaven,Netherlands,Europe
europe-west6-a 	Zurich,Switzerland,Europe
europe-west6-b 	Zurich,Switzerland,Europe
europe-west6-c 	Zurich,Switzerland,Europe
europe-west8-a 	Milan,Italy,Europe
europe-west8-b 	Milan,Italy,Europe
europe-west8-c 	Milan,Italy,Europe
europe-west9-a 	Paris,France,Europe
europe-west9-b 	Paris,France,Europe
europe-west9-c 	Paris,France,Europe
me-central1-a 	 Doha,Qatar,Middle East
me-central1-b 	 Doha,Qatar,Middle East
me-central1-c 	 Doha,Qatar,Middle East
me-central2-a 	 Dammam,Saudi Arabia,Middle East
me-central2-b 	 Dammam,Saudi Arabia,Middle East
me-central2-c 	 Dammam,Saudi Arabia,Middle East
me-west1-a 	    Tel Aviv,Israel,Middle East
me-west1-b 	    Tel Aviv,Israel,Middle East
me-west1-c 	    Tel Aviv,Israel,Middle East
northamerica-northeast1-a Montréal,Québec,North America
northamerica-northeast1-b Montréal,Québec,North America
northamerica-northeast1-c Montréal,Québec,North America
northamerica-northeast2-a Toronto,Ontario,North America
northamerica-northeast2-b Toronto,Ontario,North America
northamerica-northeast2-c Toronto,Ontario,North America
southamerica-east1-a 	Osasco,São Paulo,Brazil,South America
southamerica-east1-b 	Osasco,São Paulo,Brazil,South America
southamerica-east1-c 	Osasco,São Paulo,Brazil,South America
southamerica-west1-a 	Santiago,Chile,South America
southamerica-west1-b 	Santiago,Chile,South America
southamerica-west1-c 	Santiago,Chile,South America
us-central1-a 	 	 Council Bluffs,Iowa,North America
us-central1-b 	 	 Council Bluffs,Iowa,North America
us-central1-c 	 	 Council Bluffs,Iowa,North America
us-central1-f 	 	 Council Bluffs,Iowa,North America
us-east1-b 	 	    Moncks Corner,South Carolina,North America
us-east1-c 	 	    Moncks Corner,South Carolina,North America
us-east1-d 	 	    Moncks Corner,South Carolina,North America
us-east4-a 	 	    Ashburn,Virginia,North America
us-east4-b 	 	    Ashburn,Virginia,North America
us-east4-c 	 	    Ashburn,Virginia,North America
us-east5-a 	 	    Columbus,Ohio,North America
us-east5-b 	 	    Columbus,Ohio,North America
us-east5-c 	 	    Columbus,Ohio,North America
us-south1-a 	 	   Dallas,Texas,North America
us-south1-b 	 	   Dallas,Texas,North America
us-south1-c 	 	   Dallas,Texas,North America
us-west1-a 	 	    The Dalles,Oregon,North America
us-west1-b 	 	    The Dalles,Oregon,North America
us-west1-c 	 	    The Dalles,Oregon,North America
us-west2-a 	 	    Los Angeles,California,North America
us-west2-b 	 	    Los Angeles,California,North America
us-west2-c 	 	    Los Angeles,California,North America
us-west3-a 	 	    Salt Lake City,Utah,North America
us-west3-b 	 	    Salt Lake City,Utah,North America
us-west3-c 	 	    Salt Lake City,Utah,North America
us-west4-a 	 	    Las Vegas,Nevada,North America
us-west4-b 	 	    Las Vegas,Nevada,North America
us-west4-c 	 	    Las Vegas,Nevada,North America
